<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20220401,000000,245.9000000,258.7000000,242.4800000,251.4000000,50423650
GAZP,D,20220404,000000,254.0400000,259.9900000,237.3100000,252.9000000,40926330
GAZP,D,20220405,000000,254.0100000,256.3900000,231.4500000,243.5000000,39850580
GAZP,D,20220406,000000,238.7300000,247.8000000,234.4100000,239.7000000,20530890
GAZP,D,20220407,000000,240.0400000,246.8000000,239.1300000,245.0000000,22367990
GAZP,D,20220408,000000,246.7900000,246.7900000,240.0000000,241.0700000,14799110
GAZP,D,20220411,000000,241.9000000,242.7800000,234.1600000,234.5500000,15637750
GAZP,D,20220412,000000,234.0000000,236.6300000,223.0000000,236.3000000,26615790
GAZP,D,20220413,000000,237.9900000,239.6400000,232.1300000,234.8700000,12663510
GAZP,D,20220414,000000,234.9000000,235.5000000,221.1000000,222.1100000,21906730
GAZP,D,20220415,000000,221.9900000,226.6500000,215.7400000,224.0000000,19933030
GAZP,D,20220418,000000,224.2900000,226.0000000,216.6000000,216.9900000,15584460
GAZP,D,20220419,000000,216.9000000,222.0000000,207.0000000,220.7200000,30669110
GAZP,D,20220420,000000,221.4300000,229.8400000,215.6300000,218.9200000,33569140
GAZP,D,20220421,000000,220.0300000,221.0000000,210.2900000,210.2900000,24292390
GAZP,D,20220422,000000,210.5000000,215.0000000,207.0100000,208.0000000,28717940
GAZP,D,20220425,000000,209.9500000,209.9500000,201.1200000,206.3500000,18767820
GAZP,D,20220426,000000,207.9700000,229.7400000,206.5400000,225.8500000,46484770
GAZP,D,20220427,000000,226.0400000,237.5000000,221.6100000,237.1500000,48219530
GAZP,D,20220428,000000,239.4000000,249.0000000,235.5000000,237.5300000,68889640
GAZP,D,20220429,000000,238.5800000,245.4300000,238.0000000,240.4000000,43392920
GAZP,D,20220504,000000,241.0100000,244.3900000,233.1200000,234.1600000,20919150
GAZP,D,20220505,000000,235.5800000,239.4000000,235.0800000,238.6000000,14781210
GAZP,D,20220506,000000,238.5000000,242.9200000,235.1000000,240.1000000,17969460
GAZP,D,20220511,000000,239.7700000,243.3500000,237.5800000,241.9900000,16477840
GAZP,D,20220512,000000,241.8800000,241.8900000,227.2200000,230.5600000,24397760
GAZP,D,20220513,000000,232.1200000,237.2000000,229.0200000,235.5200000,17291690
GAZP,D,20220516,000000,234.9900000,246.9500000,233.1100000,244.2000000,28222680
GAZP,D,20220517,000000,246.0200000,260.0000000,245.3000000,258.8000000,59981560
GAZP,D,20220518,000000,261.0200000,269.4200000,261.0000000,264.8400000,51077950
GAZP,D,20220519,000000,268.0000000,269.7800000,262.6500000,266.6800000,24769920
GAZP,D,20220520,000000,268.4600000,268.9000000,260.4100000,263.0000000,27534560
GAZP,D,20220523,000000,265.4400000,273.0000000,263.0000000,263.0000000,30528440
GAZP,D,20220524,000000,262.9900000,267.2900000,250.4000000,265.8000000,52284340
GAZP,D,20220525,000000,268.4000000,271.6600000,263.8000000,271.4000000,37448790
GAZP,D,20220526,000000,273.0000000,298.3100000,245.0000000,295.8900000,146238060
GAZP,D,20220527,000000,300.0000000,305.0000000,293.5300000,294.5000000,53491660
GAZP,D,20220530,000000,298.6400000,302.0000000,296.2800000,300.8000000,30751410
GAZP,D,20220531,000000,301.8700000,302.0000000,293.5100000,293.7500000,19483010
GAZP,D,20220601,000000,293.5100000,299.5000000,290.2500000,297.6900000,22504010
GAZP,D,20220602,000000,297.7000000,299.3300000,294.9000000,296.0000000,16674500
GAZP,D,20220603,000000,296.1000000,297.2400000,291.0000000,297.0000000,18742740
GAZP,D,20220606,000000,298.0000000,299.0000000,295.1200000,296.5000000,14699600
GAZP,D,20220607,000000,297.3700000,298.6900000,294.5200000,297.9900000,15656500
GAZP,D,20220608,000000,298.8000000,309.6000000,298.1600000,308.0000000,40345320
GAZP,D,20220609,000000,309.9700000,310.5200000,303.2000000,306.5000000,26287360
GAZP,D,20220610,000000,306.4800000,310.9800000,305.0600000,309.2000000,20321460
GAZP,D,20220614,000000,308.9800000,322.7700000,307.0000000,317.6900000,47441270
GAZP,D,20220615,000000,318.9900000,322.9900000,314.1100000,316.2000000,33652300
GAZP,D,20220616,000000,316.5500000,318.2500000,314.5000000,316.9900000,23466240
GAZP,D,20220617,000000,317.5800000,317.7000000,313.5000000,315.5000000,13072610
GAZP,D,20220620,000000,316.0700000,318.0000000,311.0000000,311.9800000,21010920
GAZP,D,20220621,000000,312.3100000,312.8600000,300.7700000,301.5800000,50618050
GAZP,D,20220622,000000,300.1000000,301.9100000,294.3600000,295.8000000,48668440
GAZP,D,20220623,000000,295.8100000,304.6000000,291.1000000,303.5000000,46696840
GAZP,D,20220624,000000,304.1000000,307.4500000,295.5500000,296.0000000,35835180
GAZP,D,20220627,000000,296.0000000,299.8000000,295.1000000,296.2000000,22091320
GAZP,D,20220628,000000,296.8000000,303.8800000,293.2200000,297.2000000,39920600
GAZP,D,20220629,000000,297.9100000,300.7800000,293.8000000,297.6500000,34110040
GAZP,D,20220630,000000,299.6000000,310.8200000,200.0000000,207.0000000,307937340
GAZP,D,20220701,000000,200.8400000,201.8500000,186.2000000,192.5000000,113621040
GAZP,D,20220704,000000,191.9800000,195.4400000,181.2000000,186.2500000,82829080
GAZP,D,20220705,000000,186.3000000,199.8700000,185.2000000,197.3000000,75951460
GAZP,D,20220706,000000,197.7800000,205.7800000,194.4400000,195.4200000,82287890
GAZP,D,20220707,000000,195.4500000,199.4700000,192.3600000,197.9200000,43640940
GAZP,D,20220708,000000,200.0100000,201.8700000,196.5700000,198.0000000,28708030
